date,overpass_idx,pass_time_utc,pass_time_local,pass_utc_hour,pass_local_hour,solar_zenith_mean_pass,modis_lat,modis_lon,snap_distance_deg,month,gedi_lon,gedi_lat,x,y,rh50,rh75,rh98,rh100,dem,corine_class,corine_label,lulc,state,month_int,Solar_Zenith_Day,Sensor_Zenith_Day,Cloud_Fraction_Day,Cloud_Top_Height,Cloud_Top_Pressure_Day,Cloud_Top_Temperature_Day,Cloud_Effective_Emissivity_Day,Surface_Temperature,Cloud_Phase_Optical_Properties,Cloud_Phase_Infrared_1km,Cloud_Multi_Layer_Flag,Cirrus_Reflectance,Cloud_Optical_Thickness,Cloud_Optical_Thickness_16,Cloud_Effective_Radius,Cloud_Effective_Radius_16,Cloud_Water_Path,Sur_Reflectance_Red,Sur_Reflectance_NIR,Sur_Reflectance_Blue,Sur_Reflectance_Green,Sur_Reflectance_SWIR,retrieval_qc_ok
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.625,12.925,0.0017590036,May 2019,12.925460052012532,50.6266978284455,4527950.0,3061350.0,0.44240206,2.9984958,7.2916355,9.210741,661.6142,2.0,Artificial surfaces; urban fabric; discontinuous urban fabric,Urban (discontinuous),Sachsen,5,29.570002,64.64529,1.0,9508.502,292.07492,-14921.0625,0.6347166,-14854.871,2.0,2.0,,0.1128,,,,,,0.38768268,0.49524933,0.4042599,0.37941036,0.3296124,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.625,12.935,0.0020430603,May 2019,12.936589247663573,50.62371558555806,4528750.0,3061050.0,4.04,7.0,13.85,15.57,641.8069,2.0,Artificial surfaces; urban fabric; discontinuous urban fabric,Urban (discontinuous),Sachsen,5,29.53735,64.64409,1.0,9594.95,287.75253,-14921.752,0.63591623,-14854.825,2.0,2.0,,0.10672252,,,,,,0.3500236,0.46573845,0.37490252,0.34479797,0.31403136,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.625,12.945,0.000614385,May 2019,12.945118417025451,50.62439719488688,4529350.0,3061150.0,23.75346,27.893404,33.29537,35.380238,617.38904,24.0,Forest and semi natural areas; forests; coniferous forest,Coniferous forest,Sachsen,5,29.510263,64.64225,1.0,9706.996,283.55435,-14922.579,0.6358795,-14854.787,2.0,2.0,,0.098894365,,,,,,0.3087044,0.43406492,0.33905783,0.3064582,0.8412517,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.625,12.955,0.00094726996,May 2019,12.955116572010368,50.62594006040949,4530050.0,3061350.0,-0.1691795,0.7523663,2.4870036,3.4738169,629.7202,12.0,Agricultural areas; arable land; non-irrigated arable land,Arable land,Sachsen,5,29.498838,64.641106,1.0,9801.233,280.67902,-14923.243,0.63457423,-14854.767,2.0,2.0,,0.096964456,,,,,,0.3002305,0.42772362,0.33045387,0.29889682,1.5494369,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.625,12.965,0.0021113784,May 2019,12.963646428979734,50.62662029334788,4530650.0,3061450.0,9.076417,21.349775,28.13067,30.109938,614.4993,24.0,Forest and semi natural areas; forests; coniferous forest,Coniferous forest,Sachsen,5,29.49337,64.64042,1.0,9864.432,278.87335,-14923.686,0.63345194,-14854.758,2.0,2.0,,0.09661529,,,,,,0.29982942,0.42754477,0.32904366,0.29879132,2.0740187,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.625,12.975,0.004228875,May 2019,12.972233434428484,50.62819802865716,4531250.0,3061650.0,0.48742124,8.342083,14.381394,16.322409,658.2221,18.0,Agricultural areas; pastures; pastures,Pastures,Sachsen,5,29.49,64.64,1.0,9903.4,277.75998,-14923.957,0.63276,-14854.752,2.0,2.0,,0.0964,,,,,,0.2995821,0.42743453,0.32817417,0.2987263,2.3974738,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.635,12.925,0.0009880859,May 2019,12.92596414494137,50.63478128218237,4527950.0,3062250.0,-0.07,1.16,3.48,4.67,704.54614,18.0,Agricultural areas; pastures; pastures,Pastures,Sachsen,5,29.551939,64.64505,1.0,9569.192,289.0403,-14921.546,0.63495123,-14854.845,2.0,2.0,,0.11382941,,,,,,0.38729462,0.494232,0.4071083,0.37985688,0.32914162,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.635,12.935,0.00068689743,May 2019,12.934495167634292,50.63546366930796,4528550.0,3062350.0,15.75,19.54,24.18,25.94,697.6719,24.0,Forest and semi natural areas; forests; coniferous forest,Coniferous forest,Sachsen,5,29.550447,64.645035,1.0,9574.205,288.78973,-14921.587,0.6349706,-14854.845,2.0,2.0,,0.11391442,,,,,,0.3872626,0.49414808,0.40734357,0.37989378,0.32910272,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.635,12.945,0.0021719611,May 2019,12.94590786533214,50.6369712992237,4529350.0,3062550.0,11.8449955,20.359997,31.105001,33.445,661.5697,24.0,Forest and semi natural areas; forests; coniferous forest,Coniferous forest,Sachsen,5,29.548943,64.64501,1.0,9579.273,288.53638,-14921.627,0.6349902,-14854.842,2.0,2.0,,0.11400037,,,,,,0.38723022,0.4940631,0.40758142,0.3799311,0.32906345,False
2019-05-27,0,2019-05-27T10:50:00+00:00,2019-05-27T12:50:00+02:00,10.833333,12.833333,32.584805,50.635,12.955,0.0033360268,May 2019,12.953027043731616,50.63768845535535,4529850.0,3062650.0,-0.31257966,0.89951444,3.1146739,4.5572534,655.3035,12.0,Agricultural areas; arable land; non-irrigated arable land,Arable land,Sachsen,5,29.535418,64.64395,1.0,9651.096,286.08136,-14922.1455,0.6345391,-14854.822,2.0,2.0,,0.11038594,,,,,,0.36886662,0.48005572,0.39115566,0.36297068,0.7617912,False
