lulc,n_obs,mean_cloud_fraction,median_cloud_fraction,near_overcast_share,qc_pass_rate,cth_availability,mean_cth,cot_availability,mean_cot,mean_cwp,mean_rh98,mean_dem,mean_pass_local_hour,mean_cirrus_reflectance,dominant_phase
,1711,0.8266668718252987,1.0,0.6510812390414962,0.8714202220923437,0.7434248977206313,5102.437925188679,0.4652250146113384,24.526168491105526,262.98316346042714,17.58091769748685,691.810917327294,13.543980115137346,0.07275619015738997,
Moors & heathland,1468,0.8193441871463828,1.0,0.635558583106267,0.8760217983651226,0.7574931880108992,5269.340463758993,0.4720708446866485,23.61976063978355,273.41881607647906,11.231349725068121,962.7519385769755,13.517200249318801,0.07266776967081605,liquid
Water courses,1357,0.8577302359648585,1.0,0.6691230655858511,0.8334561532792926,0.7597641857037583,4625.680253443259,0.48268238761974946,22.14664507740458,230.07913617709926,5.183727924981578,-81626.04678615475,13.595308232129698,0.07245078708817485,liquid
Airports,812,0.7788026721748345,0.9880093999999999,0.5578817733990148,0.9014778325123153,0.708128078817734,4796.976271947827,0.4433497536945813,21.854306749833334,249.5445396111111,6.23424009950739,316.65597318719216,13.539511448275864,0.07457432256841086,liquid
Road & rail,535,0.814938045283028,0.99678636,0.5925233644859813,0.8785046728971962,0.7420560747663552,4823.830406322418,0.4373831775700935,21.997493454700855,241.50680302777778,7.688285470280374,263.92148398317755,13.530996837383178,0.07988566342093023,liquid
Dump sites,480,0.8289316030599999,0.99892175,0.60625,0.85625,0.7229166666666667,4677.895424149856,0.4583333333333333,24.96571196590909,243.4540590318182,7.744263401875,238.16386676041665,13.570833272916667,0.0737469460895585,liquid
Bare rocks,429,0.8755833344708625,1.0,0.696969696969697,0.8717948717948718,0.8671328671328671,5477.789245967742,0.5641025641025641,24.761172877272728,302.0648851859504,17.489835586013985,1911.372043123543,13.56002332867133,0.07693822279160839,liquid
Inland marshes,425,0.7600259792544235,0.9729818,0.5364705882352941,0.8635294117647059,0.6894117647058824,5500.328263686007,0.37176470588235294,17.10131865,169.86936863481012,6.651090786588235,226.1700121882353,13.450784275294117,0.07743898139950124,liquid
Sparse vegetation,383,0.8093640300872063,0.9975647,0.6057441253263708,0.8851174934725848,0.7754569190600522,5600.419783838384,0.4360313315926893,23.144977008383233,268.42799431137723,13.816050486422977,1169.608555456919,13.502175798955614,0.07361260344741144,liquid
Beaches & dunes,242,0.7682873046372314,0.99503515,0.5991735537190083,0.8884297520661157,0.6900826446280992,5838.91473,0.3884297520661157,19.525206414893617,186.28069443617022,4.585179423140496,521.8722976859505,13.432506851239669,0.08074249125639485,liquid
Construction sites,198,0.7914543632545454,1.0,0.6111111111111112,0.8484848484848485,0.7424242424242424,4516.744911292517,0.4444444444444444,18.991360609090908,189.1257442840909,5.7243496494949495,296.5327130808081,13.504629575757575,0.07002019537511112,liquid
Peat bogs,185,0.7699256934352973,0.9984615,0.6162162162162163,0.8702702702702703,0.7621621621621621,5101.802457446809,0.518918918918919,22.632338239583333,294.9096815520833,9.17991946162162,733.702357945946,13.565315313513514,0.08393583750201183,liquid
Port areas,30,0.9450311526666667,1.0,0.8333333333333334,0.7333333333333333,0.8,4452.206365833333,0.5333333333333333,19.7641879375,200.0584136875,10.7250005,87.7234025,13.622222133333333,0.07743711922333334,liquid
