lulc,clear,liquid,ice,undetermined
Arable land,0.1969116979173425,0.5758510732883017,0.21209128417329287,0.015145944621063027
Broadleaf forest,0.17645965659823853,0.5990283336320013,0.20841048921808733,0.01610152055167287
Coniferous forest,0.17061490830314777,0.5843733829165826,0.23045247638510047,0.014559232395169142
Industrial/commercial,0.16180313588850173,0.6128593205574913,0.20993031358885017,0.015407229965156794
Mixed forest,0.16857796067672612,0.5934705075445816,0.22256973022405122,0.015381801554641061
Pastures,0.17337277814270263,0.590896743827694,0.2193780034275498,0.016352474602053566
Urban (discontinuous),0.17668905667777995,0.5945283388899785,0.21186752304373407,0.01691508138850755
Woodland-shrub,0.15985028300164322,0.607997078692715,0.21663319335402592,0.015519444951615849
